Ticker,Description,Last,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
BAC,Bank of America Corporation,43.16,-4.13149711,-1.86,Sell,215675137,9308538912.92,348292632804.0236,11.90836698,3.5932,208000,Finance
XOM,Exxon Mobil Corporation,80.53,3.45580678,2.69,Buy,116516968,9383111433.04,340931178838.65,14.69021951,5.3893,63000,Energy Minerals
KO,Coca-Cola Company (The),62.43,-0.66825776,-0.42,Buy,59068670,3687657068.1,269697605312.1412,27.5250955,2.2645,79000,Consumer Non-Durables
PFE,"Pfizer, Inc.",47.7,-0.04191115,-0.02,Neutral,101659858,4849175226.6,268233636621.4033,11.87633041,3.9236,79000,Health Technology
CSCO,"Cisco Systems, Inc.",56.15,0.19628837,0.11,Neutral,60324555,3387223763.25,236818597273.13623,19.54273856,2.8095,79500,Technology Services
VZ,Verizon Communications Inc.,54.14,0.03695492,0.02,Buy,75997780,4114519809.2,227270179355.48257,10.0793412,5.3211,118400,Communications
CMCSA,Comcast Corporation,46.38,-1.46590185,-0.69,Sell,77646017,3601222268.46,210251228186.5182,15.25384717,3.0914,189000,Consumer Services
ORCL,Oracle Corporation,78.28,2.52783235,1.93,Neutral,26513546,2075480380.88,209042598717.14563,22.07475387,3.5647,132000,Technology Services
WFC,Wells Fargo & Company,52.22,-3.49288486,-1.89,Buy,120121479,6272743633.38,202916482243.76337,10.10285668,5.0188,247848,Finance
INTC,Intel Corporation,48.87,2.43135611,1.16,Sell,142724568,6974949638.16,198998638702.5756,9.63652081,4.8949,121100,Electronic Technology
MRK,"Merck & Company, Inc.",76.67,0.45859539,0.35,Sell,33631028,2578490916.76,193801310361.46973,14.84434247,5.1583,68000,Health Technology
T,AT&T Inc.,23.82,-0.37641154,-0.09,Sell,125434220,2987843120.4,170143706176.10538,8.52104005,2.7698,203000,Communications
MS,Morgan Stanley,88.38,-6.52564781,-6.17,Sell,54297397,4798803946.86,158590126467.2968,10.91051708,8.1608,74814,Finance
SCHW,Charles Schwab Corporation (The),81.81,-4.59475219,-3.94,Neutral,34319285,2807660705.85,154457490423.80994,27.55716005,2.8403,33400,Finance
BMY,Bristol-Myers Squibb Company,68.85,0.07267442,0.05,Buy,47903276,3298140552.6,152822553478.7542,22.00384739,3.1515,32200,Health Technology
NEE,"NextEra Energy, Inc.",77.55,0.50544323,0.39,Sell,37264519,2889863448.45,152210879170.2699,42.77271472,1.8209,15000,Utilities
COP,ConocoPhillips,98.04,7.41755232,6.77,Strong Buy,45716103,4482006738.12,127405611706.64854,15.97864241,6.0886,9900,Energy Minerals
C,"Citigroup, Inc.",59.56,-3.90448532,-2.42,Strong Sell,159804351,9517947145.56,118190865761.69109,5.80858151,10.1506,223400,Finance
SBUX,Starbucks Corporation,92.77,0.20522791,0.19,Sell,26411859,2450228159.43,106713334806.9251,24.31222354,3.7315,383000,Consumer Services
MU,"Micron Technology, Inc.",93.3,3.55160932,3.2,Strong Buy,66436544,6198529555.2,104475205980.44518,13.32571217,6.569,43000,Electronic Technology
