Ticker,Description,Last,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
F,Ford Motor Company,16.85,-5.49635446,-0.98,Neutral,502654141,8469722275.85,67471573250.03125,3.96905938,4.49,183000,Consumer Durables
KMI,"Kinder Morgan, Inc.",18.84,10.36906854,1.77,Strong Buy,121884617,2296306184.28,42719408806.74714,23.59204618,0.7795,10529,Industrial Services
NU,Nu Holdings Ltd.,7.16,-7.96915167,-0.62,Strong Sell,41337552,295976872.32,33007517306.371777,,-0.3254,6075,Technology Services
ET,Energy Transfer LP,10.43,6.53728294,0.64,Buy,113102415,1179658188.45,32153902081.75603,5.46508564,1.9028,12558,Industrial Services
RKT,"Rocket Companies, Inc.",14.22,16.27146361,1.99,Neutral,33769837,480207082.1400001,28212660644.858368,5.90770791,2.4292,,Finance
SIRI,Sirius XM Holdings Inc.,6.17,0.16233766,0.01,Sell,83869799,517476659.83,24358711938.194176,19.36090226,0.3236,5590,Consumer Services
PCG,Pacific Gas & Electric Co.,11.2,-1.4084507,-0.16,Sell,76160019,852992212.8,22692852168.538933,,-0.0514,26000,Utilities
PLTR,Palantir Technologies Inc.,10.96,-4.44638187,-0.51,Sell,286751956,3142801437.76,22250097017.41799,,-0.2706,2920,Technology Services
HPE,Hewlett Packard Enterprise Company,16.42,2.4968789,0.4,Buy,79561290,1306396381.8000002,21350455769.431644,6.00379942,2.8355,60400,Electronic Technology
HBAN,Huntington Bancshares Incorporated,14.76,-5.20231214,-0.81,Sell,78574464,1159759088.6399999,21226182563.14854,16.57324981,0.9296,,Finance
AMCR,Amcor plc,11.29,-4.3220339,-0.51,Strong Sell,44127186,498195929.93999994,17089981734.251099,18.43430242,0.6171,46000,Process Industries
OWL,Blue Owl Capital Inc.,11.6,-6.6773934,-0.83,Sell,9552884,110813454.4,16226286075.238094,,-0.8924,350,Finance
VTRS,Viatris Inc.,10.2,-29.84869326,-4.34,Strong Sell,197074935,2010164336.9999995,12335812831.8732,,-1.0508,37000,Health Technology
LUMN,"Lumen Technologies, Inc.",10.55,4.55896928,0.46,Sell,79045376,833928716.8000001,10796576813.238583,5.6266387,1.9213,36000,Communications
ZNGA,Zynga Inc.,9.14,-0.43572985,-0.04,Buy,128005342,1169968825.88,10332986838,,-0.0934,2952,Technology Services
OLPX,"Olaplex Holdings, Inc.",15.92,-8.71559633,-1.52,Sell,16389132,260914981.44,10318144169.74222,56.29020729,0.2852,,Consumer Non-Durables
AAL,"American Airlines Group, Inc.",14.59,-16.43757159,-2.87,Strong Sell,269582395,3933207143.05,9471245812.564606,,-3.1147,123400,Transportation
HOOD,"Robinhood Markets, Inc.",10.96,-5.59862188,-0.65,Strong Sell,74488377,816392611.9200001,9468482667.114235,,-4.3187,3800,Technology Services
CLVT,Clarivate Plc,13.23,-15.67877629,-2.46,Strong Sell,43506603,575592357.69,9084869065.164627,,-0.6388,8690,Commercial Services
YMM,Full Truck Alliance Co. Ltd.,8.57,-6.54307525,-0.6,Sell,36561842,313334985.94,8958227044,,-0.4059,,Transportation
AMC,"AMC Entertainment Holdings, Inc.",16.57,-6.17214043,-1.09,Sell,186254559,3086238042.63,8516329448.588042,,-2.8299,31198,Consumer Services
SOFI,"SoFi Technologies, Inc.",10,-6.27928772,-0.67,Strong Sell,454070936,4540709360,8285915202.058,,-1.2797,2500,Finance
IOT,Samsara Inc.,15.52,-8.7595532,-1.49,Strong Sell,10220020,158614710.4,7820809431.486326,,-0.2767,1249,Technology Services
PAA,"Plains All American Pipeline, L.P.",10.86,6.88976378,0.7,Buy,33311389,361761684.54,7722783776.106618,19.81424149,0.5491,4100,Industrial Services
FLEX,Flex Ltd.,15.81,-5.66825776,-0.95,Sell,21051525,332824610.25,7440555575.288661,8.0243309,2.0879,167201,Electronic Technology
DNB,"Dun & Bradstreet Holdings, Inc.",17.06,-5.90182019,-1.07,Strong Sell,10135153,172905710.17999998,7355689778.016574,,-0.1672,6296,Technology Services
NCLH,Norwegian Cruise Line Holdings Ltd.,17.39,-11.50127226,-2.26,Strong Sell,139596503,2427583187.17,7253129020.810884,,-12.4011,34700,Consumer Services
NOV,NOV Inc.,18.32,8.21027761,1.39,Buy,26451946,484599650.72,7193628933.544601,,-0.6477,27043,Industrial Services
UA,"Under Armour, Inc.",14.09,-9.50545922,-1.48,Strong Sell,24063258,339051305.21999997,7062062285.499999,19.32871882,0.771,17500,Consumer Non-Durables
WU,Western Union Company (The),17.76,-6.67367315,-1.27,Strong Sell,32279225,573279036,6989048817.474038,9.09090909,1.9798,10500,Finance
COTY,Coty Inc.,8.12,-11.06243154,-1.01,Sell,49974887,405796082.43999994,6810874864.743443,95.53376906,0.0972,11430,Consumer Non-Durables
CCCS,CCC Intelligent Solutions Holdings Inc.,10.69,2.19885277,0.23,Sell,6360048,67988913.11999999,6543786030.249071,8.77794094,1.2258,2250,Technology Services
QS,QuantumScape Corporation,14.29,-6.90553746,-1.06,Strong Sell,34258007,489546920.03,6142398653.711564,,-0.1251,570,Producer Manufacturing
NLSN,Nielsen N.V.,16.9,-3.81331816,-0.67,Sell,30529036,515940708.4,6071620800.303378,13.28820263,1.3207,15000,Commercial Services
ORCC,Owl Rock Capital Corporation,14.84,-1.52621102,-0.23,Buy,11058785,164112369.4,5843499901.046031,9.41287284,1.5925,,Finance
ADT,ADT Inc.,7.59,3.68852459,0.27,Sell,16018267,121578646.53,5821700899.394367,,-0.4136,,Commercial Services
VIPS,Vipshop Holdings Limited,7.72,-14.6961326,-1.33,Sell,46203311,356689560.92,5635420045,7.95400096,1.0659,,Retail Trade
VLY,Valley National Bancorp,13.36,-4.63954318,-0.65,Sell,13711796,183189594.56,5630399322.95977,12.37333333,1.132,3370,Finance
SHLX,"Shell Midstream Partners, L.P.",14.09,3.45080764,0.47,Buy,9913263,139677875.67,5541449416.024911,11.47219727,1.2916,,Industrial Services
HBI,Hanesbrands Inc.,15.47,0.51981806,0.08,Sell,25684794,397343763.18,5417213541.133334,73.47504621,0.2199,59000,Consumer Non-Durables
GPS,"Gap, Inc. (The)",14.25,-3.38983051,-0.5,Sell,86188330,1228183702.5,5320996445,10.89532839,1.3438,,Retail Trade
NYCB,"New York Community Bancorp, Inc.",11.33,-1.9047619,-0.22,Sell,36279611,411047992.63,5268627428.969046,9.74363271,1.1956,2815,Finance
ALIT,"Alight, Inc.",9.41,-8.10546875,-0.83,Strong Sell,12418433,116857454.53,5242688745.926755,,0.3015,,Technology Services
