Tsallis-q,EpRewMean,EpThisIter,explained_variance_tdlam_before,meankl,surrgain,EpisodesSoFar,TimestepsSoFar,optimgain,entropy,EpLenMean,entloss,TimeElapsed
1.0,0.016364324999999978,109,-0.6766715049743652,0.0030526784,0.0124189025,109,2048,0.0124189025,8.511338,19.25,0.0,2.9111859798431396
1.0,0.5287535000000001,111,-0.1323174238204956,0.0024357827,0.011055866,220,4096,0.011055866,8.504396,16.525,0.0,4.7514872550964355
1.0,1.0337989500000002,111,0.157151997089386,0.0035236273,0.014930981,331,6144,0.014930981,8.503061,19.425,0.0,7.101155757904053
1.0,0.8253641249999999,98,0.23038053512573242,0.0047092177,0.015353195,429,8192,0.015353195,8.494142,23.025,0.0,9.054312229156494
1.0,3.013308925,95,0.25825273990631104,0.0060834372,0.016618775,524,10240,0.016618775,8.4822855,20.325,0.0,11.27017092704773
1.0,4.5180523,82,0.28505706787109375,0.010341678,0.021249559,606,12288,0.021249559,8.469352,23.25,0.0,13.447645425796509
1.0,8.00592485,77,0.32055002450942993,0.013457881,0.021240577,683,14336,0.021240577,8.457613,26.375,0.0,15.646658182144165
1.0,18.0044839,56,0.38958531618118286,0.01869068,0.021389944,739,16384,0.021389944,8.444205,37.85,0.0,17.580095767974854
1.0,18.19770115,56,0.41165590286254883,0.023276541,0.021916281,795,18432,0.021916281,8.426403,36.975,0.0,19.724644899368286
1.0,43.236069525,35,0.44590747356414795,0.01227927,0.014231284,830,20480,0.014231284,8.408202,54.8,0.0,21.584993600845337
1.0,65.08621872500001,26,0.5782237350940704,0.003220777,0.0094360085,856,22528,0.0094360085,8.396513,67.075,0.0,23.628162384033203
1.0,91.114563,23,0.6310150027275085,0.0060772942,0.01018233,879,24576,0.01018233,8.38512,83.025,0.0,25.73444104194641
1.0,94.1445826,23,0.6131584644317627,0.005333932,0.010303494,902,26624,0.010303494,8.372181,87.75,0.0,27.697371006011963
1.0,77.53889050000001,30,0.658530205488205,0.0087371925,0.013849566,932,28672,0.013849566,8.36106,75.875,0.0,29.81026268005371
1.0,101.46316035,20,0.7174708843231201,0.005651151,0.009732211,952,30720,0.009732211,8.349113,83.0,0.0,32.07540416717529
1.0,143.07119947500001,16,0.7315851449966431,0.0038877549,0.008198034,968,32768,0.008198034,8.340666,108.925,0.0,33.95616340637207
1.0,183.05015867499998,14,0.7273306250572205,0.0037143324,0.0072570504,982,34816,0.0072570504,8.337156,129.4,0.0,35.72907781600952
1.0,183.9356909,19,0.7960445284843445,0.006149476,0.012346814,1001,36864,0.012346814,8.337774,128.7,0.0,37.53750205039978
1.0,185.380133075,13,0.7778947353363037,0.005771177,0.0068500345,1014,38912,0.0068500345,8.335478,127.85,0.0,39.28719973564148
1.0,179.48802740000002,13,0.8146598190069199,0.0030036573,0.008962932,1027,40960,0.008962932,8.329229,134.475,0.0,41.09084177017212
1.0,205.265891775,15,0.8380555957555771,0.0047911196,0.009219968,1042,43008,0.009219968,8.326144,143.425,0.0,42.92065191268921
1.0,208.70774252500001,14,0.7929478734731674,0.0040080356,0.01020957,1056,45056,0.01020957,8.317961,143.95,0.0,44.94988465309143
1.0,223.615053875,12,0.8359016627073288,0.0057939477,0.008427667,1068,47104,0.008427667,8.309059,151.575,0.0,46.88766145706177
1.0,221.30683725,14,0.7972656339406967,0.006186748,0.009719971,1082,49152,0.009719971,8.297822,154.725,0.0,48.77270150184631
1.0,221.644455225,12,0.8599331825971603,0.004904839,0.010223542,1094,51200,0.010223542,8.284795,157.775,0.0,50.64068865776062
1.0,215.36885859999998,14,0.8800167664885521,0.0034955991,0.00784073,1108,53248,0.00784073,8.277802,153.75,0.0,52.50705885887146
1.0,224.74403769999998,12,0.8187731355428696,0.0058853384,0.011297631,1120,55296,0.011297631,8.270235,163.55,0.0,54.730003118515015
1.0,240.37875295000003,11,0.893247127532959,0.0046487534,0.011939266,1131,57344,0.011939266,8.265867,170.425,0.0,57.24764609336853
1.0,247.696160025,9,0.8221500217914581,0.008470483,0.016573913,1140,59392,0.016573913,8.261451,175.0,0.0,59.06741428375244
1.0,273.53390245,12,0.8817296773195267,0.006846627,0.012207398,1152,61440,0.012207398,8.252464,187.1,0.0,60.84968423843384
1.0,264.128411325,13,0.8732590973377228,0.0075977338,0.020109028,1165,63488,0.020109028,8.242461,179.525,0.0,62.64549016952515
1.0,257.42770045000003,10,0.8989268094301224,0.003363111,0.0069048065,1175,65536,0.0069048065,8.231438,184.05,0.0,64.456139087677
1.0,249.260443125,10,0.9352267533540726,0.0075307167,0.019063689,1185,67584,0.019063689,8.225231,180.05,0.0,66.24102425575256
1.0,271.30678745,11,0.9084773734211922,0.009716951,0.010603415,1196,69632,0.010603415,8.219084,189.7,0.0,68.0624213218689
1.0,297.510335,10,0.9157312959432602,0.006357307,0.012943462,1206,71680,0.012943462,8.211187,202.725,0.0,69.8286018371582
1.0,296.73332675,10,0.9261319935321808,0.004108995,0.009300485,1216,73728,0.009300485,8.204717,201.15,0.0,71.60624861717224
1.0,297.3366819,10,0.9469111301004887,0.0039442987,0.009267559,1226,75776,0.009267559,8.203887,203.2,0.0,73.41318345069885
1.0,291.646051175,10,0.9478256553411484,0.0051024165,0.007572988,1236,77824,0.007572988,8.203243,204.225,0.0,75.22748184204102
1.0,296.072015425,10,0.9364013001322746,0.005086701,0.008866211,1246,79872,0.008866211,8.201171,206.325,0.0,77.05102491378784
1.0,296.415679275,10,0.9454576708376408,0.0035286588,0.006203603,1256,81920,0.006203603,8.201299,201.6,0.0,78.81880903244019
1.0,289.403286325,10,0.9434674270451069,0.0038836359,0.006589043,1266,83968,0.006589043,8.201196,199.125,0.0,80.60162281990051
1.0,301.252399875,11,0.952383354306221,0.004410847,0.008173814,1277,86016,0.008173814,8.200934,200.175,0.0,82.38276195526123
1.0,280.863867675,12,0.9424419924616814,0.0049474854,0.009911433,1289,88064,0.009911433,8.201787,186.05,0.0,84.20901083946228
1.0,295.12081845,10,0.9354986846446991,0.0063629695,0.012587128,1299,90112,0.012587128,8.201017,189.95,0.0,86.00131440162659
1.0,303.35369314999997,10,0.9555085860192776,0.008104592,0.008674029,1309,92160,0.008674029,8.20291,189.35,0.0,87.78918719291687
1.0,300.93914839999997,12,0.9396141320466995,0.008166239,0.010732206,1321,94208,0.010732206,8.202172,183.725,0.0,89.57375168800354
1.0,310.3304571,11,0.9530890472233295,0.002765058,0.011631206,1332,96256,0.011631206,8.197724,183.675,0.0,91.38137340545654
1.0,332.71727039999996,10,0.9717944785952568,0.0046299836,0.008621527,1342,98304,0.008621527,8.19065,191.65,0.0,93.17372465133667
1.0,331.0849043,12,0.950715109705925,0.005985365,0.013261255,1354,100352,0.013261255,8.18344,185.8,0.0,94.94278383255005
1.0,336.627605875,11,0.9587310962378979,0.0059814574,0.012044491,1365,102400,0.012044491,8.172732,187.275,0.0,96.68115592002869
1.0,349.65642584999995,10,0.9628798626363277,0.006828174,0.00914989,1375,104448,0.00914989,8.164664,193.625,0.0,98.47492146492004
1.0,335.80663289999995,12,0.9715702924877405,0.0047076805,0.0090458635,1387,106496,0.0090458635,8.160533,181.275,0.0,100.29040122032166
1.0,347.1220246,11,0.933100700378418,0.003969175,0.0070519717,1398,108544,0.0070519717,8.15563,187.25,0.0,102.08188438415527
1.0,344.27850900000004,11,0.9771087374538183,0.0072121425,0.010919456,1409,110592,0.010919456,8.151271,183.275,0.0,103.86163783073425
1.0,344.31842465,10,0.9467762485146523,0.008471344,0.009549916,1419,112640,0.009549916,8.150658,189.5,0.0,105.6930000782013
1.0,346.47713869999995,10,0.9649118334054947,0.0066243405,0.011726685,1429,114688,0.011726685,8.150993,196.2,0.0,107.47045755386353
1.0,350.722889925,10,0.9694651700556278,0.0049752137,0.009438282,1439,116736,0.009438282,8.147682,199.05,0.0,109.24339842796326
1.0,353.45376715,11,0.9661810137331486,0.006020369,0.008932417,1450,118784,0.008932417,8.141601,201.825,0.0,111.03777146339417
1.0,349.75164379999995,11,0.9753794874995947,0.0076947743,0.010263301,1461,120832,0.010263301,8.136481,195.275,0.0,112.8248565196991
1.0,348.08484645,10,0.9713039770722389,0.0046266583,0.007889826,1471,122880,0.007889826,8.128997,193.975,0.0,114.58341121673584
1.0,343.589983475,10,0.9683245196938515,0.0059840055,0.017539242,1481,124928,0.017539242,8.122291,196.4,0.0,116.41250038146973
1.0,349.00933269999996,10,0.9611836858093739,0.0023558508,0.0036708042,1491,126976,0.0036708042,8.119755,200.1,0.0,118.25374507904053
1.0,343.33288762499996,10,0.9548346623778343,0.007158725,0.010608542,1501,129024,0.010608542,8.118163,200.225,0.0,120.02599906921387
1.0,352.17503472500005,11,0.9793778005987406,0.0053381687,0.010404613,1512,131072,0.010404613,8.107916,202.3,0.0,121.81806588172913
1.0,355.50689757500004,9,0.9679410718381405,0.0064611146,0.011071922,1521,133120,0.011071922,8.101342,205.075,0.0,123.59493684768677
1.0,354.599215825,10,0.9812102671712637,0.006973705,0.010340282,1531,135168,0.010340282,8.096556,202.475,0.0,125.3633325099945
1.0,369.795444,11,0.9765518791973591,0.0059617413,0.009145331,1542,137216,0.009145331,8.095833,202.9,0.0,127.13353562355042
1.0,351.14407285,11,0.9495879784226418,0.003587358,0.010997731,1553,139264,0.010997731,8.102999,198.075,0.0,128.8981420993805
1.0,355.3204017,11,0.9820848274976015,0.0072038462,0.012167653,1564,141312,0.012167653,8.105965,193.6,0.0,130.63516664505005
1.0,354.4233419,10,0.9852227093651891,0.0064300275,0.014704537,1574,143360,0.014704537,8.103174,192.5,0.0,132.38813662528992
1.0,345.8238106,11,0.9501610323786736,0.0062517617,0.014210483,1585,145408,0.014210483,8.097908,190.375,0.0,134.1769449710846
1.0,367.57941220000004,10,0.9820847120136023,0.003596441,0.014368352,1595,147456,0.014368352,8.091796,194.275,0.0,135.93506693840027
1.0,366.14089397500004,11,0.9834990072995424,0.006451308,0.0072187134,1606,149504,0.0072187134,8.086424,195.075,0.0,137.7887523174286
1.0,359.593624925,11,0.9875061940401793,0.011351239,0.012901338,1617,151552,0.012901338,8.084235,189.65,0.0,139.58896040916443
1.0,376.57703595,10,0.9826771598309278,0.0048546027,0.010039795,1627,153600,0.010039795,8.08181,196.1,0.0,141.36800408363342
1.0,377.07641564999994,9,0.9802577756345272,0.0072052535,0.010268632,1636,155648,0.010268632,8.07215,194.925,0.0,143.14391136169434
1.0,376.53002195,12,0.9870642116293311,0.0058063962,0.010244563,1648,157696,0.010244563,8.0609045,192.475,0.0,144.95024824142456
1.0,375.136341775,11,0.9751407075673342,0.0046234024,0.007558502,1659,159744,0.007558502,8.056391,195.15,0.0,146.69176387786865
1.0,376.91566004999993,10,0.9855800373479724,0.0059402958,0.010601486,1669,161792,0.010601486,8.05358,194.25,0.0,148.4230020046234
1.0,382.441615575,9,0.9864848637953401,0.0090360055,0.016721424,1678,163840,0.016721424,8.050407,199.9,0.0,150.13844227790833
1.0,397.403925025,9,0.98704675398767,0.0076122945,0.01139408,1687,165888,0.01139408,8.049462,208.4,0.0,151.87246084213257
1.0,408.212540775,10,0.9837577193975449,0.0066541536,0.009701727,1697,167936,0.009701727,8.048555,209.85,0.0,153.5989284515381
1.0,406.92911432500006,11,0.9865090986713767,0.0041367644,0.011143577,1708,169984,0.011143577,8.048585,208.025,0.0,155.31145668029785
1.0,396.958704875,11,0.9727602824568748,0.007845426,0.018853344,1719,172032,0.018853344,8.047614,198.275,0.0,157.04367804527283
1.0,387.93319197500006,11,0.9730739034712315,0.006095705,0.0071101063,1730,174080,0.0071101063,8.049067,189.175,0.0,158.80136108398438
1.0,404.79122285,9,0.9826461113989353,0.012759583,0.014328345,1739,176128,0.014328345,8.052277,199.925,0.0,160.53047466278076
1.0,412.5883718,9,0.9791847746819258,0.0067981584,0.011270079,1748,178176,0.011270079,8.053686,202.375,0.0,162.23993945121765
1.0,426.3886664,10,0.9871920980513096,0.0055746865,0.0110618025,1758,180224,0.0110618025,8.05252,209.5,0.0,163.98732614517212
1.0,437.198466775,9,0.9784170296043158,0.0073761987,0.00971163,1767,182272,0.00971163,8.051118,214.75,0.0,165.717768907547
1.0,427.16429580000005,10,0.9702695459127426,0.005452903,0.01369773,1777,184320,0.01369773,8.05017,212.275,0.0,167.47310328483582
1.0,420.900998625,11,0.9768810980021954,0.007604272,0.016283534,1788,186368,0.016283534,8.042111,206.15,0.0,169.19523859024048
1.0,421.53827097500005,10,0.9861358320340514,0.0066309893,0.011231565,1798,188416,0.011231565,8.032346,201.85,0.0,170.9519715309143
1.0,418.2063972749999,10,0.9835902228951454,0.009752773,0.013824077,1808,190464,0.013824077,8.025389,198.025,0.0,172.70895171165466
1.0,431.373946025,11,0.9891809523105621,0.010793824,0.016254686,1819,192512,0.016254686,8.020388,196.725,0.0,174.47214102745056
1.0,423.73538500000006,11,0.9507445245981216,0.008066464,0.015775586,1830,194560,0.015775586,8.017675,193.2,0.0,176.2193820476532
1.0,426.43740149999996,10,0.9807700477540493,0.008161605,0.014146638,1840,196608,0.014146638,8.011329,194.75,0.0,177.94486927986145
1.0,426.342815425,10,0.9665550552308559,0.012331817,0.022360992,1850,198656,0.022360992,8.000517,195.5,0.0,179.6869101524353
1.0,440.05365177500005,10,0.9847890241071582,0.009717535,0.010055107,1860,200704,0.010055107,7.9927998,200.65,0.0,181.41035628318787
1.0,472.8589049,9,0.9714881721884012,0.012116639,0.019907057,1869,202752,0.019907057,7.987404,214.3,0.0,183.1382818222046
1.0,490.1252436,8,0.9787896908819675,0.0083437385,0.007988555,1877,204800,0.007988555,7.9807377,223.6,0.0,184.85790920257568
1.0,481.4448107,8,0.9722162652760744,0.0045002936,0.010234697,1885,206848,0.010234697,7.978515,226.575,0.0,186.58674573898315
1.0,498.35636125,9,0.9825048856437206,0.008907242,0.016725201,1894,208896,0.016725201,7.978637,233.025,0.0,188.30718517303467
1.0,515.377867775,9,0.9777201768010855,0.0077289212,0.017290637,1903,210944,0.017290637,7.9775143,241.65,0.0,190.03098511695862
1.0,521.8850144749999,8,0.9790783114731312,0.011647654,0.0104937125,1911,212992,0.0104937125,7.972563,243.825,0.0,191.76362895965576
