,0
0,CLDX
1,CLEU
2,CLF
3,CLFD
4,CLGN
5,CLH
6,CLIM
7,CLINR
8,CLIR
9,CLLS
10,CLM
11,CLMT
12,CLNE
13,CLNN
14,CLNNW
15,CLOE
16,CLOER
17,CLOEU
18,CLOV
19,CLPR
20,CLPS
21,CLPT
22,CLR
23,CLRB
24,CLRCU
25,CLRM
26,CLRMU
27,CLRMW
28,CLRO
29,CLS
30,CLSD
31,CLSK
32,CLSN
33,CLST
34,CLVR
35,CLVRW
36,CLVS
37,CLVT
38,CLVT^A
39,CLW
40,CLWT
41,CLX
42,CLXT
43,CM
44,CMA
45,CMAX
46,CMAXW
47,CMBM
48,CMC
49,CMCA
50,CMCL
51,CMCM
52,CMCO
53,CMCSA
54,CMCT
55,CMCTP
56,CME
57,CMG
58,CMI
59,CMLS
60,CMMB
61,CMP
62,CMPI
63,CMPO
64,CMPOW
65,CMPR
66,CMPS
67,CMPX
68,CMRE
69,CMRE^B
70,CMRE^C
71,CMRE^D
72,CMRE^E
73,CMRX
74,CMS
75,CMS^B
76,CMS^C
77,CMSA
78,CMSC
79,CMSD
80,CMT
81,CMTG
82,CMTL
83,CMU
84,CNA
85,CNC
86,CNCE
87,CND
88,CNDA
89,CNDB
90,CNDT
91,CNET
92,CNEY
93,CNF
94,CNFR
95,CNFRL
96,CNGL
97,CNGLU
98,CNGLW
99,CNHI
100,CNI
101,CNK
102,CNM
103,CNMD
104,CNNB
105,CNNE
106,CNO
107,CNO^A
108,CNOB
109,CNOBP
110,CNP
111,CNQ
112,CNR
113,CNS
114,CNSL
115,CNSP
116,CNTA
117,CNTB
118,CNTG
119,CNTQ
120,CNTQU
121,CNTQW
122,CNTX
123,CNTY
124,CNVY
125,CNX
126,CNXC
127,CNXN
128,CO
129,COCO
130,COCP
131,CODA
132,CODI
133,CODI^A
134,CODI^B
135,CODI^C
136,CODX
137,COE
138,COF
139,COF^I
140,COF^J
141,COF^K
142,COF^L
143,COF^N
144,COFS
145,COGT
146,COHN
147,COHR
148,COHU
149,COIN
150,COKE
151,COLB
152,COLD
153,COLI
154,COLIU
155,COLIW
156,COLL
157,COLM
158,COMM
159,COMP
160,COMS
161,COMSP
162,COMSW
163,CONN
164,CONX
165,CONXU
166,CONXW
167,COO
168,COOK
169,COOL
170,COOLU
171,COOLW
172,COOP
173,COP
174,CORR
175,CORR^A
176,CORS
177,CORT
178,CORZ
179,CORZW
180,COSM
181,COST
182,COTY
183,COUP
184,COUR
185,COVAW
186,COWN
187,COWNL
188,CP
189,CPA
190,CPAA
191,CPAAW
192,CPAC
193,CPAQU
194,CPAQW
195,CPAR
196,CPARU
197,CPARW
198,CPB
199,CPE
200,CPF
201,CPG
202,CPHC
203,CPHI
204,CPIX
205,CPK
206,CPLP
207,CPNG
208,CPOP
209,CPRI
210,CPRT
211,CPRX
212,CPS
213,CPSH
214,CPSI
215,CPSS
216,CPT
217,CPTAG
218,CPTAL
219,CPTK
220,CPTN
221,CPTNW
222,CPUH
223,CPZ
224,CQP
225,CR
226,CRAI
227,CRBP
228,CRBU
229,CRC
230,CRCT
231,CRD/A
232,CRD/B
233,CRDF
234,CRDL
235,CRDO
236,CREC
237,CRECU
238,CRECW
239,CREG
240,CRESW
241,CRESY
242,CREX
243,CREXW
244,CRF
245,CRGE
246,CRGY
247,CRH
248,CRHC
249,CRI
250,CRIS
251,CRK
252,CRKN
253,CRL
254,CRM
255,CRMD
256,CRMT
257,CRNC
258,CRNT
259,CRNX
260,CRON
261,CROX
262,CRS
263,CRSP
264,CRSR
265,CRT
266,CRTD
267,CRTDW
268,CRTO
269,CRTX
270,CRU
271,CRUS
272,CRVL
273,CRVS
274,CRWD
275,CRWS
276,CRXT
277,CRXTW
278,CRZN
279,CS
280,CSAN
281,CSBR
